"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"11","chr2L",143139,143494,356,"*","suvar1_peak_20",51,".",1.9577,6.73053,5.10653,196,"2L",143319,143725,"suvar2_peak_21",55,".",2.13253,7.29751,5.59485,196,175,"Promoter",1,143323,144227,905,1,"FBgn0031224","FBtr0078116",0,"33175","CG11454","uncharacterized protein"
"12","chr2L",155204,156603,1400,"*","suvar1_peak_23",366,".",3.68527,39.1559,36.6028,1018,"2L",155249,156513,"suvar2_peak_22",214,".",3.33255,23.6908,21.4148,929,1264,"Promoter",1,153539,155305,1767,2,"FBgn0031227","FBtr0078147",0,"33178","CG3709","uncharacterized protein"
"13","chr2L",158432,159300,869,"*","suvar1_peak_24",129,".",2.39722,14.9703,12.9991,604,"2L",158757,159238,"suvar2_peak_23",93,".",2.42823,11.2741,9.37407,295,481,"Promoter",1,159032,201588,42557,1,"FBgn0016977","FBtr0078122",0,"44205","spen","split ends"
"14","chr2L",179150,179532,383,"*","suvar1_peak_26",32,".",1.72833,4.70436,3.20623,263,"2L",179270,179515,"suvar2_peak_25",41,".",1.98652,5.78107,4.17415,104,245,"Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",1,182820,201588,18769,1,"FBgn0016977","FBtr0332337",-3288,"44205","spen","split ends"
"15","chr2L",180793,181286,494,"*","suvar1_peak_27",84,".",2.4021,10.2133,8.42572,267,"2L",180956,181320,"suvar2_peak_27",58,".",2.13849,7.53146,5.81381,204,330,"Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",1,182820,201588,18769,1,"FBgn0016977","FBtr0332337",-1534,"44205","spen","split ends"
"16","chr2L",203539,204031,493,"*","suvar1_peak_29",97,".",2.16938,11.5883,9.74296,213,"2L",203635,204193,"suvar2_peak_28",177,".",3.1224,19.9292,17.7453,190,396,"Promoter",1,203779,204782,1004,1,"FBgn0031231","FBtr0078124",0,"33182","mRpL10","mitochondrial ribosomal protein L10"
"17","chr2L",207046,207720,675,"*","suvar1_peak_30",849,".",5.5154,88.1777,84.9876,306,"2L",207068,207783,"suvar2_peak_29",982,".",6.96664,101.601,98.2648,264,652,"Promoter",1,204743,207297,2555,2,"FBgn0031232","FBtr0078146",0,"33183","CG11617","uncharacterized protein"
"18","chr2L",250353,251429,1077,"*","suvar1_peak_36",830,".",5.55088,86.2456,83.0752,690,"2L",250663,251732,"suvar2_peak_31",564,".",4.55854,59.3218,56.4783,367,766,"Promoter",1,210735,250823,40089,2,"FBgn0266557","FBtr0078144",0,"33185","kis","kismet"
"19","chr2L",252129,252590,462,"*","suvar1_peak_37",309,".",3.89497,33.3637,30.9163,241,"2L",252102,252650,"suvar2_peak_32",132,".",2.83013,15.2627,13.2147,323,462,"Promoter",1,251039,252373,1335,2,"FBgn0283652","FBtr0336990",0,"44392","Rpp30","RNaseP protein p30"
"20","chr2L",267729,268630,902,"*","suvar1_peak_40",45,".",1.87109,6.1757,4.58376,250,"2L",267992,268372,"suvar2_peak_34",64,".",2.19846,8.23441,6.47877,72,380,"Promoter",1,263466,267505,4040,2,"FBgn0031239","FBtr0078142",-224,"33191","CG17075","uncharacterized protein"
"21","chr2L",277203,277842,640,"*","suvar1_peak_43",256,".",3.47385,28.028,25.6951,153,"2L",277187,277850,"suvar2_peak_35",232,".",3.65668,25.5753,23.2565,163,640,"Promoter",1,277582,282167,4586,1,"FBgn0003444","FBtr0078129",0,"33196","smo","smoothened"
"22","chr2L",282873,283566,694,"*","suvar1_peak_44",374,".",4.18201,40.0633,37.4953,482,"2L",282955,283532,"suvar2_peak_36",218,".",3.38859,24.1694,21.8836,341,577,"Promoter",1,281670,283195,1526,2,"FBgn0031244","FBtr0343780",0,"33197","CG11601","uncharacterized protein"
"23","chr2L",285445,285813,369,"*","suvar1_peak_45",53,".",1.91646,6.93666,5.30179,86,"2L",285353,285859,"suvar2_peak_39",167,".",3.13385,18.8717,16.7145,299,369,"Promoter",1,283385,285726,2342,2,"FBgn0031245","FBtr0078136",0,"33198","CG3625","uncharacterized protein"
"24","chr2L",286170,287055,886,"*","suvar1_peak_46",84,".",2.23894,10.2868,8.49515,219,"2L",286211,286657,"suvar2_peak_40",49,".",2.02081,6.64297,4.9773,199,446,"Promoter",1,283662,286531,2870,2,"FBgn0031245","FBtr0078135",0,"33198","CG3625","uncharacterized protein"
"25","chr2L",291501,291812,312,"*","suvar1_peak_47",79,".",2.41613,9.67254,7.90715,185,"2L",291608,291889,"suvar2_peak_42",65,".",2.29457,8.31248,6.55158,125,204,"Promoter",1,283385,291795,8411,2,"FBgn0031245","FBtr0113009",0,"33198","CG3625","uncharacterized protein"
"26","chr2L",294391,295342,952,"*","suvar1_peak_49",828,".",5.65525,85.9882,82.82,707,"2L",294859,295517,"suvar2_peak_44",741,".",5.49859,77.1882,74.1285,238,483,"Promoter",1,292959,294681,1723,2,"FBgn0017457","FBtr0333408",0,"33201","U2af38","U2 small nuclear riboprotein auxiliary factor 38"
"27","chr2L",297054,298280,1227,"*","suvar1_peak_50",184,".",2.85054,20.6461,18.4998,944,"2L",297514,298399,"suvar2_peak_45",102,".",2.3866,12.1797,10.2431,446,766,"Promoter",1,297880,303934,6055,1,"FBgn0020622","FBtr0331205",0,"33203","Pi3K21B","Pi3K21B"
"28","chr2L",305516,306487,972,"*","suvar1_peak_51",518,".",4.74125,54.6171,51.8246,236,"2L",305568,306423,"suvar2_peak_46",239,".",3.21051,26.3253,23.9917,194,855,"Promoter",1,305935,346255,40321,1,"FBgn0004611","FBtr0078047",0,"33204","Plc21C","Phospholipase C at 21C"
"29","chr2L",306813,310545,3733,"*","suvar1_peak_52",409,".",4.00328,43.5896,40.9633,3078,"2L",306497,310109,"suvar2_peak_47",622,".",5.64467,65.1159,62.2036,2362,3297,"Promoter",1,310200,346255,36056,1,"FBgn0004611","FBtr0330674",0,"33204","Plc21C","Phospholipase C at 21C"
"30","chr2L",395342,395970,629,"*","suvar1_peak_53",499,".",5.43138,52.6912,49.9267,244,"2L",395411,395860,"suvar2_peak_48",186,".",3.37495,20.8624,18.6545,191,449,"Promoter",1,396120,396571,452,1,"FBgn0263871","FBtr0329831",-150,"14462652","lncRNA:CR43718","long non-coding RNA:CR43718"
"31","chr2L",414215,415598,1384,"*","suvar1_peak_55",555,".",4.76001,58.3962,55.5532,608,"2L",414288,415466,"suvar2_peak_49",410,".",4.30125,43.7364,41.0997,481,1178,"Promoter",1,415067,418536,3470,1,"FBgn0263933","FBtr0078055",0,"33212","ebi","ebi"
"32","chr2L",419303,420279,977,"*","suvar1_peak_56",148,".",2.76554,16.8754,14.8417,679,"2L",419327,420308,"suvar2_peak_50",162,".",3.01592,18.416,16.2734,772,952,"Promoter",1,419952,420697,746,1,"FBgn0002593","FBtr0078056",0,"33214","RpLP1","Ribosomal protein LP1"
"33","chr2L",420981,421673,693,"*","suvar1_peak_57",158,".",2.70091,17.9032,15.8377,507,"2L",420850,421690,"suvar2_peak_51",115,".",2.52699,13.4995,11.5131,671,693,"Promoter",1,420895,421450,556,2,"FBgn0031253","FBtr0078089",0,"33215","CG11885","uncharacterized protein"
"34","chr2L",435245,435591,347,"*","suvar1_peak_58",59,".",2.34074,7.65698,5.98521,144,"2L",435103,435519,"suvar2_peak_52",62,".",2.29327,7.97122,6.22994,279,275,"Intron (FBtr0078059/FBgn0004583, intron 1 of 5)",1,439539,440104,566,1,"FBgn0263870","FBtr0329833",-3948,"14462653","lncRNA:CR43717","long non-coding RNA:CR43717"
"35","chr2L",452656,453223,568,"*","suvar1_peak_59",86,".",2.1971,10.4484,8.64919,205,"2L",452739,452962,"suvar2_peak_53",32,".",1.78055,4.78271,3.25132,112,223,"Promoter",1,448254,453024,4771,2,"FBgn0015924","FBtr0078087",0,"33219","crq","croquemort"
"36","chr2L",455467,455794,328,"*","suvar1_peak_60",69,".",2.08238,8.69618,6.97499,275,"2L",455480,456050,"suvar2_peak_54",44,".",1.90338,6.12293,4.49463,212,314,"Promoter",1,455531,458745,3215,1,"FBgn0031257","FBtr0078061",0,"33221","CG4133","uncharacterized protein"
"37","chr2L",455880,456240,361,"*","suvar1_peak_61",42,".",1.90405,5.77463,4.20617,41,"2L",455480,456050,"suvar2_peak_54",44,".",1.90338,6.12293,4.49463,212,171,"Promoter",1,455531,458745,3215,1,"FBgn0031257","FBtr0331231",349,"33221","CG4133","uncharacterized protein"
"38","chr2L",470630,471024,395,"*","suvar1_peak_63",154,".",2.92559,17.5348,15.4803,223,"2L",470759,471003,"suvar2_peak_58",74,".",2.15072,9.2138,7.40826,157,244,"Promoter",1,458876,471555,12680,2,"FBgn0031258","FBtr0310035",531,"33222","CG4297","uncharacterized protein"
"39","chr2L",472983,473322,340,"*","suvar1_peak_65",99,".",2.15347,11.7556,9.90331,151,"2L",472964,473333,"suvar2_peak_60",108,".",2.64346,12.8198,10.8594,164,340,"Promoter",1,473013,476170,3158,1,"FBgn0027592","FBtr0078062",0,"33223","MED15","Mediator complex subunit 15"
"40","chr2L",478479,479101,623,"*","suvar1_peak_66",833,".",5.75311,86.5624,83.3893,316,"2L",478567,479070,"suvar2_peak_62",501,".",4.52371,52.9021,50.1399,203,503,"Promoter",1,476446,479688,3243,2,"FBgn0043364","FBtr0078083",587,"33224","cbt","cabut"
"41","chr2L",479328,479620,293,"*","suvar1_peak_67",167,".",2.74039,18.8662,16.7709,158,"2L",479379,479663,"suvar2_peak_63",72,".",2.05789,9.04668,7.24984,117,241,"Promoter",1,476446,479688,3243,2,"FBgn0043364","FBtr0078083",68,"33224","cbt","cabut"
"42","chr2L",480483,481117,635,"*","suvar1_peak_68",133,".",2.46741,15.3102,13.3278,212,"2L",480325,480844,"suvar2_peak_64",90,".",2.34304,10.9081,9.02442,147,362,"Promoter",1,476446,479688,3243,2,"FBgn0043364","FBtr0310030",-795,"33224","cbt","cabut"
"43","chr2L",482169,482749,581,"*","suvar1_peak_69",86,".",2.43417,10.4576,8.65782,337,"2L",482131,482933,"suvar2_peak_66",88,".",2.43028,10.7222,8.84617,447,581,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",1,476446,479688,3243,2,"FBgn0043364","FBtr0310030",-2481,"33224","cbt","cabut"
"44","chr2L",489828,490590,763,"*","suvar1_peak_73",1526,".",8.19182,156.648,152.625,411,"2L",489963,490499,"suvar2_peak_70",1344,".",6.86133,138.115,134.405,278,536,"Promoter",1,490835,540532,49698,1,"FBgn0003963","FBtr0310027",-245,"33225","ush","u-shaped"
"45","chr2L",540151,541617,1467,"*","suvar1_peak_77",1776,".",8.96348,182.182,177.657,926,"2L",540293,541444,"suvar2_peak_72",1901,".",9.4975,194.663,190.189,811,1151,"Promoter",1,540599,542580,1982,2,"FBgn0010602","FBtr0310028",963,"33226","lwr","lesswright"
"46","chr2L",542421,542727,307,"*","suvar1_peak_78",111,".",2.47516,13.0855,11.1824,135,"2L",542326,542714,"suvar2_peak_73",265,".",3.87925,28.9201,26.5328,202,294,"Promoter",1,540599,542580,1982,2,"FBgn0010602","FBtr0310028",0,"33226","lwr","lesswright"
"47","chr2L",544569,544900,332,"*","suvar1_peak_79",146,".",3.09185,16.6493,14.623,139,"2L",544582,544830,"suvar2_peak_74",38,".",1.87504,5.42554,3.84294,177,248,"Promoter",1,542786,544653,1868,2,"FBgn0031260","FBtr0078080",0,"33227","Spp","Signal peptide peptidase"
"48","chr2L",568087,568597,511,"*","suvar1_peak_81",283,".",3.46298,30.7716,28.3778,183,"2L",568065,568627,"suvar2_peak_76",178,".",3.03997,19.9998,17.8127,132,511,"Promoter",1,566366,568121,1756,2,"FBgn0021874","FBtr0078075",0,"33234","Nle","Notchless"
"49","chr2L",574219,574935,717,"*","suvar1_peak_82",224,".",3.39746,24.722,22.468,218,"2L",574021,574730,"suvar2_peak_77",154,".",2.91539,17.5173,15.4009,369,512,"Promoter",1,573033,574264,1232,2,"FBgn0031267","FBtr0078074",0,"33236","Ipk2","Inositol phosphate kinase 2"
"50","chr2L",576878,577211,334,"*","suvar1_peak_83",189,".",3.48831,21.0867,18.9282,124,"2L",576769,577177,"suvar2_peak_78",186,".",3.23421,20.8864,18.6773,204,300,"Promoter",1,575711,576896,1186,2,"FBgn0013323","FBtr0346650",0,"33238","Ptth","Prothoracicotropic hormone"
"51","chr2L",602262,602915,654,"*","suvar1_peak_84",1613,".",7.93463,165.491,161.326,259,"2L",602057,602977,"suvar2_peak_79",1822,".",9.41101,186.59,182.246,473,654,"Promoter",1,602813,603562,750,1,"FBgn0031270","FBtr0078071",0,"33241","CG13689","uncharacterized protein"
"52","chr2L",739970,740609,640,"*","suvar1_peak_85",1315,".",8.03371,135.282,131.557,256,"2L",739971,740547,"suvar2_peak_80",1321,".",7.72959,135.785,132.1,252,576,"Exon (FBtr0301316/FBgn0026438, exon 2 of 6)",1,737212,741791,4580,2,"FBgn0026438","FBtr0301316",1182,"33247","Eaat2","Excitatory amino acid transporter 2"
"53","chr2L",745727,746097,371,"*","suvar1_peak_87",200,".",3.06047,22.2561,20.0648,169,"2L",745751,746117,"suvar2_peak_81",192,".",3.2965,21.4294,19.2068,160,346,"Distal Intergenic",1,737212,744395,7184,2,"FBgn0026438","FBtr0301317",-1332,"33247","Eaat2","Excitatory amino acid transporter 2"
"54","chr2L",809500,809822,323,"*","suvar1_peak_90",92,".",2.60697,11.0539,9.2292,184,"2L",809396,809784,"suvar2_peak_82",86,".",2.62839,10.5206,8.6551,133,285,"Promoter",1,810577,811531,955,1,"FBgn0051658","FBtr0078008",-755,"318874","Nnf1b","Nnf1b"
"55","chr2L",815826,816181,356,"*","suvar1_peak_91",112,".",2.71987,13.199,11.2917,237,"2L",815774,816407,"suvar2_peak_83",45,".",2.13034,6.15111,4.51815,280,356,"Promoter",1,813314,815950,2637,2,"FBgn0031281","FBtr0078041",0,"33255","Saf6","SAGA factor-like TAF6"
"56","chr2L",819053,820047,995,"*","suvar1_peak_92",206,".",2.90198,22.8224,20.6167,729,"2L",819129,820026,"suvar2_peak_84",96,".",2.51014,11.5439,9.63315,530,897,"Promoter",1,819964,821209,1246,1,"FBgn0015621","FBtr0078011",0,"33259","Clp","Clipper"
"57","chr2L",821052,821597,546,"*","suvar1_peak_93",709,".",5.44351,73.9371,70.9057,349,"2L",820966,821621,"suvar2_peak_85",425,".",3.9845,45.196,42.5378,428,546,"Promoter",1,821289,824337,3049,1,"FBgn0031285","FBtr0305507",0,"33260","CG3662","uncharacterized protein"
"58","chr2L",822181,822578,398,"*","suvar1_peak_94",42,".",2.01315,5.8284,4.25634,65,"2L",821801,822382,"suvar2_peak_86",56,".",2.17514,7.30366,5.60023,228,202,"Promoter",1,821422,824337,2916,1,"FBgn0031285","FBtr0301908",759,"33260","CG3662","uncharacterized protein"
"59","chr2L",825662,826603,942,"*","suvar1_peak_95",364,".",4.17926,38.9563,36.4064,467,"2L",825531,826790,"suvar2_peak_87",262,".",3.56842,28.6101,26.2281,891,942,"Promoter",1,825969,832331,6363,1,"FBgn0010583","FBtr0332973",0,"33262","dock","dreadlocks"
"60","chr2L",826865,827474,610,"*","suvar1_peak_96",114,".",2.60486,13.3246,11.4126,422,"2L",826870,827534,"suvar2_peak_88",99,".",2.53091,11.9163,9.9909,414,604,"Promoter",1,825969,833241,7273,1,"FBgn0010583","FBtr0078015",896,"33262","dock","dreadlocks"
"61","chr2L",833108,833621,514,"*","suvar1_peak_98",569,".",4.96235,59.7659,56.9045,252,"2L",833166,833554,"suvar2_peak_89",464,".",4.63086,49.1935,46.4819,190,388,"3' UTR",1,825969,833241,7273,1,"FBgn0010583","FBtr0078015",7139,"33262","dock","dreadlocks"
"62","chr2L",842034,842277,244,"*","suvar1_peak_99",30,".",1.82356,4.49729,3.01129,136,"2L",842043,842316,"suvar2_peak_92",31,".",1.89103,4.66287,3.14001,151,234,"Promoter",1,833584,842943,9360,2,"FBgn0020304","FBtr0302121",666,"33263","drongo","drongo"
"63","chr2L",843138,843405,268,"*","suvar1_peak_100",39,".",1.92862,5.55125,3.99616,91,"2L",843161,843429,"suvar2_peak_94",53,".",2.15575,7.07702,5.38501,79,244,"Promoter",1,833587,842943,9357,2,"FBgn0020304","FBtr0078037",-195,"33263","drongo","drongo"
"64","chr2L",850521,851534,1014,"*","suvar1_peak_101",420,".",4.21018,44.6574,42.0148,610,"2L",850470,851336,"suvar2_peak_99",229,".",2.98306,25.3127,22.9996,643,816,"Promoter",1,833584,851071,17488,2,"FBgn0020304","FBtr0302120",0,"33263","drongo","drongo"
"65","chr2L",855199,855975,777,"*","suvar1_peak_103",1432,".",8.39476,147.125,143.245,228,"2L",855191,855991,"suvar2_peak_100",1320,".",7.52779,135.765,132.081,225,777,"Promoter",1,855337,856236,900,1,"FBgn0031288","FBtr0078017",0,"33266","CG13949","uncharacterized protein"
"66","chr2L",868002,868489,488,"*","suvar1_peak_105",52,".",1.87922,6.86839,5.23648,315,"2L",867938,868398,"suvar2_peak_102",53,".",2.1402,7.06664,5.37547,259,397,"Promoter",1,861849,868013,6165,2,"FBgn0029095","FBtr0078032",0,"33268","aru","arouser"
"67","chr2L",870411,872035,1625,"*","suvar1_peak_106",357,".",3.92458,38.2613,35.723,1265,"2L",870395,872507,"suvar2_peak_104",237,".",3.3466,26.0326,23.703,1357,1625,"Promoter",1,870465,874149,3685,1,"FBgn0053526","FBtr0091487",0,"33270","PNUTS","Phosphatase 1 nuclear targeting subunit"
"68","chr2L",884918,885397,480,"*","suvar1_peak_107",487,".",5.46311,51.5377,48.7885,212,"2L",884828,885466,"suvar2_peak_105",519,".",5.68227,54.7705,51.9841,308,480,"Promoter",1,877172,885141,7970,2,"FBgn0031292","FBtr0345634",0,"33272","CG15824","uncharacterized protein"
"69","chr2L",922617,922918,302,"*","suvar1_peak_108",75,".",2.42806,9.31623,7.56712,147,"2L",922732,922957,"suvar2_peak_106",25,".",1.77267,4.04626,2.57781,119,186,"Promoter",1,922793,958098,35306,1,"FBgn0028481","FBtr0077949",0,"33276","CG4341","uncharacterized protein"
"70","chr2L",942227,942676,450,"*","suvar1_peak_109",281,".",4.30392,30.5602,28.1698,227,"2L",942164,942776,"suvar2_peak_107",427,".",5.51311,45.3912,42.7307,287,450,"Intron (FBtr0077949/FBgn0028481, intron 2 of 10)",1,922793,958098,35306,1,"FBgn0028481","FBtr0305064",19434,"33276","CG4341","uncharacterized protein"
"71","chr2L",1006456,1006981,526,"*","suvar1_peak_110",624,".",7.11547,65.3537,62.4206,138,"2L",1006510,1006915,"suvar2_peak_108",513,".",6.01392,54.1233,51.3449,89,405,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0445830",-15156,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"72","chr2L",1046550,1047103,554,"*","suvar1_peak_113",50,".",2.20112,6.64345,5.02535,192,"2L",1046819,1047086,"suvar2_peak_110",16,".",1.63481,3.02398,1.6621,3,267,"Promoter",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",950,"33277","IA-2","IA-2 protein tyrosine phosphatase"
"73","chr2L",1047512,1047904,393,"*","suvar1_peak_114",142,".",2.96003,16.2999,14.2844,200,"2L",1047495,1047933,"suvar2_peak_111",31,".",1.71248,4.70436,3.17899,163,393,"Promoter",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",149,"33277","IA-2","IA-2 protein tyrosine phosphatase"
"74","chr2L",1049346,1049719,374,"*","suvar1_peak_115",215,".",3.4173,23.7613,21.5305,217,"2L",1049314,1049730,"suvar2_peak_112",311,".",4.00327,33.6579,31.1824,215,374,"3' UTR",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",-1293,"33277","IA-2","IA-2 protein tyrosine phosphatase"
"75","chr2L",1076755,1078037,1283,"*","suvar1_peak_116",268,".",3.73772,29.1804,26.8194,1117,"2L",1077528,1078080,"suvar2_peak_113",289,".",3.63287,31.3966,28.9622,351,509,"Promoter",1,1049674,1077815,28142,2,"FBgn0003310","FBtr0077993",0,"33281","S","Star"
"76","chr2L",1086636,1086981,346,"*","suvar1_peak_118",83,".",2.42174,10.1694,8.38285,142,"2L",1086636,1087061,"suvar2_peak_114",63,".",2.2386,8.0758,6.32862,162,345,"Intron (FBtr0332570/FBgn0031299, intron 3 of 8)",1,1080911,1085380,4470,1,"FBgn0031298","FBtr0332569",5725,"33283","Atg4a","Autophagy-related 4a"
"77","chr2L",1108045,1108660,616,"*","suvar1_peak_119",561,".",4.89852,59.0063,56.1561,286,"2L",1108021,1108673,"suvar2_peak_116",576,".",4.98968,60.4762,57.6184,321,616,"Promoter",1,1108540,1112694,4155,1,"FBgn0031301","FBtr0077954",0,"33286","CG14339","uncharacterized protein"
"78","chr2L",1117861,1118981,1121,"*","suvar1_peak_120",125,".",2.94096,14.501,12.5466,410,"2L",1118149,1118527,"suvar2_peak_117",200,".",3.42741,22.3019,20.059,198,378,"Promoter",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0077988",50,"33288","Pino","Pinocchio"
"79","chr2L",1120368,1121369,1002,"*","suvar1_peak_122",71,".",2.46108,8.85134,7.12327,802,"2L",1119660,1120763,"suvar2_peak_119",107,".",2.52251,12.6619,10.7069,364,396,"Intron (FBtr0077987/FBgn0016926, intron 2 of 4)",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0332272",-1337,"33288","Pino","Pinocchio"
"80","chr2L",1120368,1121369,1002,"*","suvar1_peak_122",71,".",2.46108,8.85134,7.12327,802,"2L",1121015,1121379,"suvar2_peak_120",45,".",2.08307,6.14229,4.51023,184,354,"Intron (FBtr0077987/FBgn0016926, intron 2 of 4)",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0332272",-1337,"33288","Pino","Pinocchio"
"81","chr2L",1122661,1123491,831,"*","suvar1_peak_123",180,".",3.45117,20.1478,18.0166,197,"2L",1122518,1123524,"suvar2_peak_122",166,".",3.09606,18.8526,16.6956,339,831,"Intron (FBtr0077987/FBgn0016926, intron 2 of 4)",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0332272",-3630,"33288","Pino","Pinocchio"
"82","chr2L",1128368,1129554,1187,"*","suvar1_peak_129",149,".",2.6448,17.022,14.9832,960,"2L",1128068,1128970,"suvar2_peak_124",61,".",2.15085,7.87563,6.13894,835,603,"Promoter",1,1114654,1128953,14300,2,"FBgn0016926","FBtr0077987",0,"33288","Pino","Pinocchio"
"83","chr2L",1128368,1129554,1187,"*","suvar1_peak_129",149,".",2.6448,17.022,14.9832,960,"2L",1129152,1130051,"suvar2_peak_125",42,".",1.80055,5.84302,4.2306,194,402,"Promoter",1,1114654,1128953,14300,2,"FBgn0016926","FBtr0077987",0,"33288","Pino","Pinocchio"
"84","chr2L",1133791,1134424,634,"*","suvar1_peak_130",104,".",2.37052,12.3339,10.4592,474,"2L",1133635,1134819,"suvar2_peak_126",144,".",3.16495,16.5324,14.4434,604,634,"Promoter",1,1132332,1134098,1767,2,"FBgn0031305","FBtr0077986",0,"33290","Iris","iris"
"85","chr2L",1136329,1137111,783,"*","suvar1_peak_131",124,".",2.96878,14.4256,12.4744,299,"2L",1136304,1137487,"suvar2_peak_127",156,".",3.29501,17.7545,15.6299,324,783,"Intron (FBtr0077957/FBgn0031306, intron 1 of 4)",1,1134693,1141156,6464,1,"FBgn0031306","FBtr0332271",1636,"33291","CG4577","uncharacterized protein"
"86","chr2L",1142594,1143056,463,"*","suvar1_peak_133",165,".",2.59105,18.6626,16.5747,207,"2L",1142623,1143072,"suvar2_peak_128",317,".",3.70766,34.2439,31.7586,204,433,"Promoter",1,1142869,1143216,348,1,"FBgn0267281","FBtr0346497",0,"19835078","lncRNA:CR45717","long non-coding RNA:CR45717"
"87","chr2L",1155641,1158325,2685,"*","suvar1_peak_134",140,".",2.62293,16.0197,14.0128,2300,"2L",1155576,1156705,"suvar2_peak_129",125,".",2.87066,14.5852,12.5607,217,1065,"Promoter",1,1151678,1156311,4634,2,"FBgn0261458","FBtr0100023",0,"45233","capt","capulet"
"88","chr2L",1164216,1164553,338,"*","suvar1_peak_135",113,".",2.40165,13.2721,11.3616,200,"2L",1164367,1164638,"suvar2_peak_132",36,".",1.77342,5.22826,3.66276,133,186,"Promoter",1,1164443,1166425,1983,1,"FBgn0031314","FBtr0077962",0,"33300","IntS14","Integrator 14"
